test01,test11,test21,test31,test41,test51,test61,test71,test81,test10
14649,11650,11161,12468,13026,16405,14767,13112,10704,11559
8803,11650,11161,11115,13026,10013,13385,8509,10704,8473
8803,11650,11161,11115,13026,10013,12533,8509,10704,8473
8803,11650,11161,11115,11080,10013,12533,8509,10704,8473
8803,9978,9593,11115,11080,10013,11983,8509,7931,8473
8803,9978,9593,11115,11080,10013,8911,8509,7931,8473
8803,8768,9593,11115,10644,10013,8911,8509,7931,8473
8803,8768,9593,11115,10644,10013,8911,8509,7931,8473
8803,7854,9593,11115,10644,10013,8911,8509,7931,8473
8803,7854,9593,11115,10644,7545,8911,8509,7931,8473
8803,7854,9593,11115,10644,7545,8911,8509,7931,8473
8803,7854,9593,11115,10644,7545,8911,8509,7931,8473
8803,7854,9593,11115,10644,7545,8911,8509,7931,8473
8803,7854,9593,11115,10644,7545,8911,8509,7931,8473
8803,7854,9593,9964,9581,7545,8911,8509,7931,8473
8803,7854,9593,9964,9581,7545,8911,8509,7931,8473
8803,7854,9593,9678,9581,7545,8911,8509,7931,8473
8803,7854,9593,9678,9581,7545,7297,8509,7931,8473
8803,7854,9593,9678,9581,7545,7297,8509,7931,8473
8803,7854,8469,9183,9581,7545,7297,8509,7931,8473
8803,7854,8469,9183,9581,7545,7297,8509,7931,8473
8803,7854,8469,9183,9581,7545,7297,8509,7931,8473
8803,7854,8469,9183,7641,7545,7297,8509,7931,8473
8702,7854,5650,9183,7641,7545,7297,8509,7931,8473
8702,7854,5650,9183,7641,7545,7297,8509,7931,8473
8702,7854,5650,9183,7641,7545,7297,8509,7931,8473
8702,7854,5650,9183,7641,7545,7297,8509,7931,8473
8702,7854,5650,9183,7641,7545,7297,8509,7931,8473
8702,7854,5650,9183,7641,7545,7297,8509,7931,8473
8702,7854,5650,9183,7641,7545,7297,8509,7931,8473
8702,7854,5650,9183,7641,7545,7297,8509,7931,8473
8702,7854,5650,9183,7641,7545,7297,8509,7931,8473
8702,7854,5650,9183,7641,7545,7297,8509,7931,8473
8702,7854,5650,9183,7641,7545,7297,8509,7931,8473
8702,7854,5650,9183,7641,7545,7297,8509,7931,8473
8702,7854,5650,9183,7641,7422,7297,8509,7931,8473
8702,7854,5650,9183,7641,7422,7297,8509,7931,8473
5905,7854,5650,9183,7641,7422,7297,8509,7931,8473
5905,7854,5650,9183,7641,7422,7297,8509,7931,8473
5905,7854,5650,9183,7641,7422,7297,8509,7931,8473
5905,7854,5650,9183,7641,7422,7297,8509,7931,8473
5905,7854,5650,9183,7641,7422,7297,8509,7931,8473
5905,7854,5650,9183,7641,7422,7297,8509,7931,8473
5905,7854,5650,9183,7641,7422,7297,8509,7931,8473
5905,7854,5650,9183,7641,7422,7297,8509,7931,8473
5905,7854,5650,9183,7641,7422,7297,8509,7931,8473
5905,7854,5650,9183,7641,7422,7297,8509,7931,8473
5905,7854,5650,9183,7641,7422,7297,8509,7931,8473
5905,7854,5650,9183,7641,7422,7297,8509,7931,8473
5905,7854,5650,9183,7641,7422,7297,8509,6653,8473
5905,7854,5650,9183,7641,7422,7297,8509,6653,8473
5905,7854,5650,9183,7641,7422,7297,8509,6653,8473
5905,7854,5650,8746,7641,6862,7297,8509,6653,8473
5905,7854,5650,8746,7641,6862,7297,8509,6653,8473
5905,7854,5650,8746,7641,6862,7297,8509,6653,8473
5905,7854,5650,8699,7641,6862,7297,8509,6653,8473
5905,7854,5650,8699,7641,6862,7297,8509,6653,8473
5905,7854,5650,8699,7641,6862,7297,8509,6653,8473
5905,7854,5650,8699,7641,6862,7297,8509,6653,8473
5905,7854,5650,8699,7641,6862,7297,8509,6653,8473
5905,7854,5650,8699,7641,6862,7297,8509,6653,8473
5905,7854,5650,8699,7641,6862,7297,8509,6653,8473
5905,7854,5650,8699,7641,6862,7297,8509,6653,8473
5905,7854,5650,8608,7641,6862,7297,8509,6653,8473
5905,7854,5650,8608,7641,6862,7297,8509,6653,8473
5905,7854,5650,8608,7641,6862,7297,8509,6653,8473
5905,7854,5650,8608,7641,6862,7297,8509,6653,8473
5905,7854,5650,8608,7641,6862,7297,8509,6653,8473
5905,7854,5650,8608,7641,6862,7297,8509,6653,8473
5905,7854,5650,8608,7641,6862,7297,8509,6653,8473
5905,7854,5650,8608,7641,6862,7297,8509,6653,8473
5905,7854,5650,8608,7641,6862,7297,8509,6653,8473
5905,7854,5650,8608,7641,6862,7297,8509,6653,8473
5905,7854,5650,8608,7641,6862,7297,8509,6653,8473
5905,7854,5650,8608,7641,6862,7297,8509,6653,8473
5905,7854,5650,8608,7641,6862,7297,8509,6653,8473
5905,7854,5650,8608,7641,6862,7297,8509,6653,8473
5905,7854,5650,8608,7641,6862,7297,8509,6653,8473
5905,7854,5650,8608,7641,6862,7297,8509,6653,8473
5905,7854,5650,8608,7641,6862,7297,8509,6653,8473
5905,7854,5650,8608,7641,6862,7297,8509,6653,8473
5905,7854,5650,8608,7641,6862,7297,8509,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
5905,7854,5650,8608,7641,6862,7297,7329,6653,8473
